TF	SWI/SNF	Mediator	POLII	TFIIF	TFIID	BRD4	TFIIH	TFIIB	TFIIE
ZNF599	1	1	1	0	0	0	0	0	0
ZNF600	1	1	1	0	0	0	0	0	0
ZNF605	1	1	1	0	0	0	0	0	0
ZNF606	1	1	1	0	0	0	0	0	0
ZNF607	1	1	1	0	0	0	0	0	0
ZNF610	1	1	1	0	1	0	0	0	0
ZNF611	1	1	1	0	1	0	0	0	0
ZNF613	1	1	1	0	1	0	0	0	0
ZNF614	1	1	1	0	1	0	0	0	0
ZNF616	1	1	1	0	0	0	0	0	0
ZNF619	1	1	1	0	0	0	0	0	0
ZNF621	1	1	1	0	0	0	0	0	0
ZNF623	1	1	1	0	0	0	0	0	0
ZNF624	1	1	1	0	0	0	0	0	0
ZNF649	1	1	1	0	0	0	0	0	0
ZNF658	1	1	1	0	0	0	0	0	0
ZNF662	1	1	1	0	0	0	0	0	0
ZNF665	1	1	1	0	1	0	0	0	0
ZNF667	1	1	1	0	0	0	0	0	0
ZNF669	1	1	1	0	0	0	0	0	0
ZNF674	1	1	1	0	0	0	0	0	0
ZNF675	1	1	1	0	0	0	0	0	0
ZNF676	1	1	1	0	0	0	0	0	0
ZNF677	1	1	1	0	1	0	0	0	0
ZNF679	1	1	1	0	0	0	0	0	0
ZNF684	1	1	1	0	0	0	0	0	0
ZNF689	1	1	1	0	1	0	0	0	0
ZNF699	1	1	1	0	0	0	0	0	0
ZNF7	1	1	1	0	0	0	0	0	0
ZNF700	1	1	1	0	0	0	0	0	0
ZNF708	1	1	1	0	0	0	0	0	0
ZNF714	1	1	1	0	0	0	0	0	0
ZNF716	1	1	1	0	0	0	0	0	0
ZNF721	1	1	1	0	0	0	0	0	0
ZNF726	1	1	1	0	0	0	0	0	0
ZNF729	1	1	1	0	0	0	0	0	0
ZNF749	1	1	1	0	1	0	0	0	0
ZNF764	1	1	1	0	1	0	0	0	0
ZNF766	1	1	1	0	1	0	0	0	0
ZNF768	1	1	1	0	0	0	0	0	0
ZNF77	1	1	1	0	0	0	0	0	0
ZNF780B	1	1	1	0	0	0	0	0	0
ZNF782	1	1	1	0	0	0	0	0	0
ZNF790	1	1	1	0	0	0	0	0	0
ZNF791	1	1	1	0	1	0	0	0	0
ZNF792	1	1	1	0	0	0	0	0	0
ZNF793	1	1	1	0	1	0	0	0	0
ZNF8	1	1	1	0	0	0	0	0	0
ZNF813	1	1	1	0	0	0	0	0	0
ZNF814	1	1	1	0	0	0	0	0	0
ZNF823	1	1	1	0	0	0	0	0	0
ZNF829	1	1	1	0	0	0	0	0	0
ZNF836	1	1	1	0	0	0	0	0	0
ZNF841	1	1	1	0	1	0	0	0	0
ZNF845	1	1	1	0	0	0	0	0	0
ZNF860	1	1	1	0	0	0	0	0	0
ZNF879	1	1	1	0	0	0	0	0	0
ZNF91	1	1	1	0	0	0	0	0	0
ZNF93	1	1	1	0	0	0	0	0	0
ZNF98	1	1	1	0	0	0	0	0	0
